address,category
0x4bb1c210e3921e0f051ed00e898b9605c902114e,Phishing
0x4899f3371fb9f8e68a0b639bf1fd75220a089c42,Phishing
0xe88379631857c0d8174efefdf8dca25b29610f08,Phishing
0x7ba85e2e55c7598378fe927ad2aef2dac6c45218,Phishing
0x7dcfd020ad161fbd4c45894ab352582018ea9197,Phishing
0x0b591a58137f154f59aea1284166d6a7b49821fd,Phishing
0xec970bbf167beee6fb536f1839418f3d19ce2a69,Phishing
0x247733af8b2bb8e63e3a2a419761c0fd71d40499,Phishing
0x570ac27d1048dcba1a4c58fe80109b9cf9b0e2ef,Phishing
0xf4710562c804087af20b7396ce7cba38b43fb61f,Phishing
0x71b7767a9464ea1ad82db434f06d9330d34a9fe5,Phishing
0x79a9e902cfbe87fa5065905293992c15de7f6095,Phishing
0xe977419ef28e71ed541ff6318cea9a6392709a48,Phishing
0xd3d26c61401924939bee67dffdb7aa7a0138844c,Phishing
0xb113a2c20471ff1efdf2735206c630707263f41c,Phishing
0xa1b70dc70fb74767cd380985cf93c4fb132fc4f7,Phishing
0x785a751b2e36b2b0fdb80100b7ca14889a768a22,Scamming
0x8645ec394f7af95316639dce6f99c01476b0d888,Scamming
0xaa2498d85ba7559006f90110a4bc33c10a06c1af,Scamming
0xe009321b26350c2cff5db607068c1f6813df40d7,Scamming
0xa8eb559eeb38c6cb6a8bc6c39badd86b113cd875,Scamming
0x52b34625687d6266a3b98fd5d214828f0670d7ed,Scamming
0x717d2041c516573a0e27f552cdb6c5c3ec7b4e09,Phishing
0xcc49d1f23f01decd4e18b6aaacccb038c9648e30,Phishing
0xcb89576d5e1627f4a0c64c2bb4d51798e92e8b8f,Phishing
0x37c85a7523b1832b4d0380b2f513e88b66e8c850,Scamming
0x560833296ef7a7f41b30c1065225fa9b33830c19,Phishing
0x175f6dbf87215a6da7107977b4680bc3db31b2de,Phishing
0x362291375bd3fc2ff0f928184bd6f373f92dea57,Phishing
